order_line_id,order_id,product_supplier_id,design_id,quantity,discount_id
1,1,17,98,3,
2,1,73,63,1,
3,2,39,139,3,
4,2,48,16,1,
5,3,72,88,4,
6,3,52,8,3,
7,4,19,37,2,
8,4,13,67,3,
9,5,17,20,1,
10,5,6,42,5,
11,6,3,67,1,
12,6,9,109,3,
13,7,29,45,2,
14,7,51,106,2,
15,8,28,126,2,
16,8,68,64,5,
17,9,9,60,1,
18,9,52,63,4,
19,10,16,102,1,
20,10,40,114,1,
21,11,62,120,2,
22,11,41,25,3,
23,12,8,61,2,
24,12,70,53,6,
25,13,64,80,3,
26,13,7,75,3,
27,14,4,8,2,
28,14,3,16,1,
29,15,41,98,2,
30,15,46,63,4,
31,15,66,50,2,
32,16,9,104,1,
33,16,57,22,6,
34,17,34,24,3,
35,17,19,108,3,
36,18,74,67,1,
37,18,44,68,2,
38,19,71,103,1,
39,19,32,69,1,
40,20,73,2,1,
41,20,11,64,2,
42,21,35,20,1,
43,21,40,67,3,
44,22,8,104,2,
45,22,25,94,1,
46,23,23,79,5,
47,23,67,18,2,
48,24,58,13,3,
49,24,6,34,4,
50,25,56,58,2,
51,25,28,108,2,
52,26,33,62,1,
53,26,67,22,1,
54,27,34,38,3,
55,27,66,103,3,
56,28,3,116,1,
57,28,74,57,3,
58,29,5,135,2,
59,29,1,40,2,
60,30,7,29,2,
61,30,74,97,2,
62,31,46,28,1,
63,31,33,54,1,
64,32,24,49,4,
65,32,42,1,1,
66,33,32,19,1,
67,33,17,40,3,
68,34,50,99,3,
69,34,40,27,3,
70,35,44,27,1,
71,35,62,53,2,
72,36,73,104,4,
73,36,13,92,1,
74,37,40,14,2,
75,37,55,3,3,
76,38,49,66,3,
77,38,71,112,1,
78,39,61,93,1,
79,39,75,101,5,
80,39,31,132,4,
81,40,31,62,1,
82,40,16,59,2,
83,41,13,130,4,
84,41,13,67,3,
85,42,26,71,4,
86,42,24,95,4,
87,43,34,1,4,
88,43,72,30,5,
89,44,58,41,2,
90,44,13,118,5,
91,45,29,33,5,
92,45,65,127,4,
93,46,24,32,3,
94,46,71,6,4,
95,47,54,123,1,
96,47,66,40,1,
97,48,73,85,4,
98,48,57,37,1,
99,49,13,2,2,
100,49,17,80,4,
101,50,31,125,1,
102,50,35,44,1,
103,51,18,105,4,
104,51,64,60,5,
105,52,20,109,3,
106,52,66,144,3,
107,53,40,136,1,
108,53,50,120,2,
109,54,5,123,4,
110,54,69,59,4,
111,55,56,94,1,
112,55,77,10,6,
113,56,46,9,1,
114,56,22,33,1,
115,57,32,124,2,
116,57,22,144,2,
117,58,7,103,2,
118,58,67,67,4,
119,59,29,21,2,
120,59,18,120,2,
121,60,65,26,2,
122,60,28,75,5,
123,61,68,134,1,
124,61,72,70,4,
125,62,12,101,6,
126,62,13,27,3,
127,62,13,106,1,
128,63,32,2,1,
129,63,77,19,2,
130,64,43,26,1,
131,64,33,58,6,
132,65,30,28,4,
133,65,65,70,1,
134,66,67,143,4,
135,66,2,142,3,
136,67,47,86,6,
137,67,13,12,5,
138,68,64,7,3,
139,68,11,136,3,
140,69,64,114,2,
141,69,64,137,3,
142,70,63,82,1,
143,70,13,99,6,
144,71,50,99,5,
145,71,52,80,2,
146,72,72,23,1,
147,72,6,143,1,
148,73,54,88,2,
149,73,23,87,4,
150,74,2,110,1,
151,74,22,122,4,
152,75,57,123,1,
153,75,66,75,5,
154,76,4,134,2,
155,76,51,114,1,
156,77,9,51,1,
157,77,67,99,4,
158,78,23,7,2,
159,78,53,123,2,
160,79,63,54,2,
161,79,25,78,2,
162,80,40,38,4,
163,80,59,20,3,
164,81,4,110,1,
165,81,55,22,5,
166,82,22,64,1,
167,82,21,131,1,
168,83,24,6,3,
169,83,61,22,2,
170,84,49,95,2,
171,84,1,83,4,
172,85,65,19,3,
173,85,50,38,1,
174,85,47,26,1,
175,86,50,42,3,
176,86,75,42,1,
177,87,46,131,1,
178,87,31,137,2,
179,88,67,61,1,
180,88,56,119,1,
181,89,56,84,1,
182,89,30,141,2,
183,90,60,15,1,
184,90,47,81,2,
185,91,40,69,4,
186,91,48,87,3,
187,92,72,115,1,
188,92,48,144,3,
189,93,40,94,3,
190,93,71,25,6,
191,94,58,40,2,
192,94,66,111,1,
193,95,48,73,1,
194,95,33,78,2,
