order_id,scheduled_deliver_date,deliver_date
1,3/12/2021,3/9/2021
2,3/14/2021,3/11/2021
3,3/13/2021,3/13/2021
4,3/13/2021,3/10/2021
5,3/10/2021,3/10/2021
6,3/14/2021,3/13/2021
7,3/28/2021,3/28/2021
8,3/14/2021,3/12/2021
9,3/13/2021,3/13/2021
10,3/15/2021,3/14/2021
11,3/13/2021,3/13/2021
12,3/10/2021,3/8/2021
13,3/17/2021,3/16/2021
14,3/19/2021,3/26/2021
15,3/11/2021,3/10/2021
16,3/16/2021,3/13/2021
17,3/14/2021,3/14/2021
18,3/16/2021,3/14/2021
19,3/12/2021,3/10/2021
20,3/16/2021,3/13/2021
21,3/10/2021,3/7/2021
22,3/15/2021,3/13/2021
23,3/12/2021,3/9/2021
24,3/19/2021,3/16/2021
25,3/15/2021,3/15/2021
26,3/21/2021,3/19/2021
27,3/19/2021,3/18/2021
28,3/21/2021,3/19/2021
29,3/16/2021,3/15/2021
30,3/20/2021,3/19/2021
31,3/21/2021,3/19/2021
32,3/20/2021,3/19/2021
33,3/19/2021,3/18/2021
34,3/25/2021,3/23/2021
35,3/30/2021,3/28/2021
36,3/24/2021,3/21/2021
37,3/19/2021,3/16/2021
38,3/19/2021,3/19/2021
39,3/24/2021,3/22/2021
40,3/25/2021,3/25/2021
41,3/25/2021,3/22/2021
42,3/26/2021,3/24/2021
43,3/23/2021,3/22/2021
44,4/3/2021,4/2/2021
45,3/31/2021,3/30/2021
46,4/21/2021,4/18/2021
47,3/30/2021,3/30/2021
48,4/2/2021,3/30/2021
49,4/3/2021,4/1/2021
50,3/31/2021,3/28/2021
51,3/26/2021,3/24/2021
52,3/30/2021,3/28/2021
53,3/27/2021,3/24/2021
54,3/29/2021,3/29/2021
55,4/2/2021,4/2/2021
56,4/5/2021,4/2/2021
57,3/27/2021,3/25/2021
58,4/4/2021,4/4/2021
59,3/31/2021,3/30/2021
60,4/1/2021,3/31/2021
61,4/6/2021,4/4/2021
62,4/1/2021,3/30/2021
63,3/28/2021,3/27/2021
64,3/30/2021,3/29/2021
65,4/3/2021,3/31/2021
66,4/4/2021,4/3/2021
67,3/30/2021,3/27/2021
68,4/1/2021,3/31/2021
69,3/29/2021,3/27/2021
70,3/29/2021,3/29/2021
71,4/2/2021,3/31/2021
72,3/30/2021,3/30/2021
73,4/2/2021,4/1/2021
74,3/30/2021,3/29/2021
75,3/31/2021,3/29/2021
76,4/3/2021,4/2/2021
77,3/31/2021,3/30/2021
78,4/5/2021,4/5/2021
79,4/8/2021,4/7/2021
80,4/10/2021,4/9/2021
81,4/1/2021,4/1/2021
82,4/7/2021,4/5/2021
83,4/9/2021,4/6/2021
84,4/7/2021,4/7/2021
85,4/4/2021,4/3/2021
86,4/13/2021,4/10/2021
87,4/10/2021,4/15/2021
88,4/9/2021,4/9/2021
89,4/5/2021,4/3/2021
90,4/11/2021,4/10/2021
91,4/10/2021,4/9/2021
92,4/7/2021,4/4/2021
93,4/9/2021,4/7/2021
94,4/6/2021,4/5/2021
95,4/13/2021,4/12/2021
96,4/10/2021,4/7/2021
97,4/5/2021,4/3/2021
98,4/9/2021,4/9/2021
99,4/7/2021,4/7/2021
100,4/15/2021,4/13/2021
101,4/19/2021,4/19/2021
102,4/10/2021,4/7/2021
103,4/15/2021,4/14/2021
