order_line_id,delivery_rating,branch_rating,product_rating,customer_service_rating,review_date
19,5,5,5,5,3/14/2021
34,2,5,3,4,3/14/2021
64,1,5,5,4,3/19/2021
77,4,5,3,5,3/19/2021
68,4,3,4,5,3/23/2021
103,5,5,3,4,3/24/2021
81,5,5,4,4,3/25/2021
131,5,5,4,5,3/29/2021
96,1,4,5,5,3/30/2021
125,5,3,4,5,3/30/2021
132,5,3,5,4,3/31/2021
138,5,4,4,4,3/31/2021
118,5,4,4,5,4/4/2021
169,5,4,4,5,4/6/2021
170,5,5,2,4,4/7/2021
202,4,5,3,5,4/7/2021
180,4,3,5,4,4/9/2021
185,5,4,4,2,4/9/2021
221,2,4,2,4,4/9/2021
238,4,5,1,5,4/10/2021
247,5,4,5,5,4/11/2021
234,5,2,4,5,4/12/2021
204,2,5,5,4,4/13/2021
269,1,5,4,5,4/13/2021
282,5,5,5,2,4/13/2021
229,5,5,5,5,4/17/2021
236,5,5,4,5,4/19/2021
289,5,5,5,5,4/22/2021
313,4,5,3,2,4/25/2021
365,1,2,3,4,4/29/2021
244,5,4,4,5,4/30/2021
245,3,4,5,5,4/30/2021
305,5,4,5,5,5/3/2021
392,5,5,4,5,5/3/2021
397,3,5,5,5,5/3/2021
388,1,5,4,4,5/7/2021
351,3,5,4,5,5/10/2021
429,5,3,4,5,5/10/2021
389,5,4,2,5,5/11/2021
454,5,5,5,5,5/15/2021
415,2,4,5,4,5/18/2021
463,5,5,5,1,5/21/2021
412,4,5,4,5,5/25/2021
489,5,5,2,4,5/26/2021
441,4,5,3,5,5/27/2021
520,5,5,5,5,5/29/2021
503,1,5,5,4,5/31/2021
506,5,2,4,5,5/31/2021
507,4,5,4,5,5/31/2021
550,5,4,4,2,6/5/2021
553,3,5,2,5,6/11/2021
624,4,4,4,4,6/13/2021
625,2,4,4,5,6/13/2021
629,4,5,5,3,6/13/2021
638,5,5,5,5,6/13/2021
579,5,5,3,4,6/14/2021
619,5,4,2,5,6/14/2021
595,4,5,5,4,6/16/2021
582,5,5,1,3,6/17/2021
589,5,5,5,3,6/17/2021
566,4,5,4,5,6/18/2021
666,5,1,5,4,6/19/2021
661,4,3,4,4,6/20/2021
548,4,5,5,2,6/21/2021
634,4,3,5,4,6/21/2021
669,5,1,4,4,6/23/2021
670,3,4,5,4,6/23/2021
707,5,5,2,5,6/27/2021
745,4,4,5,5,6/29/2021
569,4,4,3,5,6/30/2021
570,5,1,5,5,6/30/2021
762,5,5,5,5,7/4/2021
679,5,5,5,4,7/9/2021
781,4,4,4,4,7/10/2021
758,5,5,3,5,7/12/2021
753,5,4,5,4,7/13/2021
824,1,5,5,4,7/14/2021
808,5,5,5,5,7/15/2021
840,5,4,5,5,7/15/2021
841,4,5,4,5,7/15/2021
786,5,5,5,4,7/18/2021
813,3,4,4,5,7/18/2021
848,3,5,2,5,7/18/2021
796,5,5,5,5,7/19/2021
829,3,5,5,5,7/19/2021
856,2,4,5,5,7/19/2021
865,4,5,4,3,7/22/2021
811,2,5,5,5,7/25/2021
888,4,5,3,4,7/31/2021
903,1,4,3,4,7/31/2021
920,5,5,2,5,7/31/2021
950,5,3,3,5,8/5/2021
951,3,3,5,3,8/7/2021
945,5,5,5,4,8/10/2021
993,5,3,5,4,8/12/2021
972,2,2,4,5,8/13/2021
986,5,5,4,5,8/13/2021
987,4,5,2,3,8/13/2021
965,5,5,3,5,8/14/2021
1017,1,4,5,4,8/16/2021
1028,3,5,1,5,8/17/2021
926,3,4,3,4,8/18/2021
1018,4,4,5,5,8/21/2021
1019,3,2,5,5,8/21/2021
1033,5,4,1,5,8/26/2021
1030,3,3,3,5,8/27/2021
1043,4,5,2,5,8/27/2021
1044,3,4,5,5,8/27/2021
1089,1,5,2,5,8/30/2021
1052,4,5,5,4,8/31/2021
1064,5,5,5,5,9/2/2021
1058,5,4,5,5,9/4/2021
1095,5,5,5,3,9/4/2021
973,3,4,3,5,9/6/2021
1130,4,5,3,5,9/7/2021
1104,4,5,4,4,9/8/2021
1105,4,4,5,5,9/8/2021
1143,4,5,5,5,9/10/2021
1132,5,5,5,5,9/11/2021
1178,4,4,4,5,9/21/2021
1163,4,5,4,5,9/23/2021
1164,2,5,4,5,9/23/2021
1186,4,4,4,5,9/24/2021
1190,5,5,3,4,9/25/2021
1200,5,5,5,5,9/25/2021
1213,5,4,1,5,9/28/2021
1219,3,5,5,5,9/28/2021
1222,5,2,5,3,9/28/2021
1223,5,5,5,5,9/28/2021
1185,4,5,4,5,9/30/2021
1193,2,4,5,5,9/30/2021
1245,4,5,3,5,10/1/2021
1250,5,4,5,3,10/1/2021
1155,4,4,4,5,10/2/2021
1241,4,5,5,5,10/2/2021
1252,5,3,5,5,10/6/2021
1263,5,3,4,3,10/6/2021
1288,3,5,5,4,10/6/2021
1289,4,5,4,2,10/6/2021
1276,5,5,5,5,10/9/2021
1310,2,5,5,5,10/12/2021
1291,5,5,5,5,10/13/2021
1171,5,5,4,5,10/14/2021
1309,5,4,5,4,10/14/2021
1282,5,3,5,4,10/16/2021
1283,3,5,5,5,10/16/2021
1270,4,4,4,4,10/17/2021
1284,5,4,3,5,10/18/2021
1336,4,4,5,5,10/19/2021
1266,4,4,4,1,10/20/2021
1321,3,5,5,5,10/21/2021
1328,3,5,4,5,10/21/2021
1347,5,5,5,3,10/24/2021
1385,3,5,5,5,10/26/2021
1358,3,4,4,4,10/27/2021
1391,5,5,5,5,10/27/2021
1287,5,5,3,5,10/28/2021
1375,3,5,3,5,10/28/2021
1355,5,5,5,5,10/29/2021
1362,4,5,4,4,10/29/2021
1388,5,5,4,3,10/30/2021
1367,4,5,4,5,10/31/2021
1402,5,5,5,5,10/31/2021
1413,3,5,5,4,11/1/2021
1431,5,5,5,5,11/2/2021
1426,5,5,5,4,11/4/2021
1438,2,3,4,5,11/4/2021
1370,5,5,3,3,11/5/2021
1371,5,3,5,5,11/5/2021
1305,5,5,3,3,11/6/2021
1410,5,4,5,5,11/6/2021
1427,3,4,4,4,11/6/2021
1434,5,4,5,5,11/7/2021
1446,3,3,2,3,11/7/2021
1488,4,5,4,5,11/7/2021
1489,5,5,5,5,11/7/2021
1493,3,3,5,5,11/9/2021
1405,4,4,5,2,11/10/2021
1468,2,4,5,4,11/10/2021
1479,5,5,5,4,11/12/2021
1523,3,4,4,5,11/14/2021
1485,3,5,4,4,11/16/2021
1534,3,4,4,1,11/17/2021
1514,4,5,5,4,11/18/2021
1578,3,5,5,4,11/19/2021
1519,2,5,3,5,11/20/2021
1443,3,5,3,5,11/21/2021
1444,5,4,2,5,11/21/2021
1568,3,5,5,3,11/21/2021
1590,4,4,2,4,11/21/2021
1552,4,1,4,4,11/23/2021
1509,5,5,4,5,11/24/2021
1601,4,5,5,4,11/24/2021
1620,2,5,3,5,11/25/2021
1565,5,3,4,4,11/27/2021
1614,4,5,4,5,11/27/2021
1577,5,4,2,5,11/28/2021
1607,5,5,5,2,11/29/2021
1559,4,2,3,4,12/1/2021
1656,5,5,5,3,12/3/2021
1633,5,2,5,5,12/4/2021
1649,3,3,5,5,12/4/2021
1626,4,5,1,5,12/6/2021
1543,5,4,4,2,12/7/2021
1647,5,5,4,4,12/8/2021
1690,3,4,4,5,12/11/2021
1583,5,5,4,5,12/12/2021
1698,5,3,5,5,12/13/2021
1712,4,5,4,5,12/15/2021
1639,5,5,2,4,12/24/2021
1637,5,5,3,5,12/27/2021
1677,3,4,5,5,12/28/2021
1790,5,5,4,5,12/30/2021
1786,4,5,3,5,1/1/2022
1871,2,5,4,3,1/4/2022
1821,5,2,5,5,1/6/2022
1803,5,5,4,4,1/7/2022
1826,3,4,5,5,1/7/2022
1856,5,3,2,5,1/7/2022
1836,4,4,2,3,1/9/2022
1883,4,4,4,4,1/9/2022
1854,5,5,5,4,1/10/2022
1814,5,5,5,5,1/11/2022
1917,4,2,4,5,1/11/2022
1860,4,5,5,3,1/12/2022
1942,5,5,5,5,1/15/2022
1943,3,5,5,5,1/15/2022
1872,4,4,4,5,1/16/2022
1873,2,5,5,5,1/16/2022
1951,5,5,5,5,1/17/2022
1914,4,5,5,5,1/18/2022
1909,4,5,3,5,1/20/2022
1923,3,4,5,5,1/20/2022
1937,3,4,5,5,1/21/2022
1940,3,4,3,5,1/22/2022
1938,5,5,5,4,1/23/2022
2023,5,4,3,4,1/23/2022
2012,3,4,5,5,1/25/2022
1770,3,4,5,4,1/27/2022
2005,5,5,4,5,1/28/2022
2057,1,5,5,3,1/28/2022
2026,4,3,5,5,1/29/2022
2013,5,2,5,5,1/30/2022
2039,4,5,5,4,1/30/2022
2019,4,4,4,3,2/1/2022
2041,4,4,5,3,2/2/2022
2059,5,5,4,2,2/2/2022
2009,4,5,2,4,2/3/2022
2033,5,4,5,5,2/3/2022
2076,5,5,4,4,2/5/2022
2079,5,4,5,5,2/5/2022
2122,4,3,4,5,2/9/2022
2085,5,4,2,5,2/10/2022
2088,5,5,5,5,2/10/2022
2129,3,5,2,5,2/10/2022
2131,5,4,5,5,2/12/2022
2118,5,4,5,5,2/13/2022
2124,4,5,5,5,2/13/2022
2140,5,5,4,5,2/16/2022
2136,3,5,3,2,2/17/2022
2137,3,5,5,5,2/17/2022
2154,4,5,3,4,2/17/2022
2172,5,5,1,5,2/18/2022
2174,4,5,5,5,2/18/2022
2175,3,4,3,5,2/18/2022
2151,5,3,5,5,2/21/2022
2153,2,4,5,5,2/23/2022
2163,5,5,2,3,2/23/2022
2146,4,4,5,2,2/24/2022
2147,2,5,5,4,2/24/2022
2222,5,4,2,2,2/26/2022
2243,5,5,4,4,2/28/2022
2208,5,5,5,5,3/1/2022
2220,3,4,5,4,3/2/2022
2195,1,5,4,4,3/3/2022
2254,5,4,4,3,3/3/2022
2194,5,4,3,5,3/4/2022
2218,3,5,4,2,3/5/2022
2214,3,4,3,4,3/8/2022
2239,5,4,3,5,3/9/2022
2171,5,2,5,5,3/10/2022
2256,3,5,5,5,3/10/2022
2288,5,4,5,5,3/19/2022
2296,4,3,3,5,3/22/2022
2276,5,4,5,5,3/24/2022
2306,5,5,4,5,3/31/2022
2301,5,4,3,5,4/1/2022
2308,5,5,5,5,4/5/2022
2325,3,5,5,5,4/7/2022
2318,4,5,4,2,4/9/2022
2334,4,5,4,1,4/14/2022
2331,5,4,5,5,4/15/2022
2340,5,5,4,3,4/15/2022
2348,5,5,3,5,4/21/2022
2337,5,4,5,2,4/22/2022
2342,4,4,5,4,4/22/2022
2354,5,3,5,4,5/2/2022
2378,5,4,5,4,5/17/2022
2382,5,5,3,5,5/20/2022
2387,4,4,5,4,5/20/2022
2383,5,5,5,5,5/21/2022
2406,4,4,5,4,5/24/2022
2393,5,4,5,5,5/27/2022
2397,5,5,3,5,5/31/2022
2440,5,5,3,5,6/12/2022
2426,5,5,1,4,6/14/2022
2436,5,5,5,2,6/16/2022
2442,3,5,5,4,6/17/2022
2450,2,5,5,5,6/18/2022
